state,city,neighborhood,street,price,area,rooms,bathrooms,garage,description,url,number,done,furnished,type
RJ,NITEROI,FONSECA,RUA LOPES DA CUNHA,290000.0,70,2,2,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-fonseca-niteroi-70m2-id-2638196871,null,2,0,APARTAMENTO
RJ,NITEROI,JACARE,ESTRADA FREI ORLANDO,250000.0,65,3,2,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jacare-niteroi-65m2-id-2665922013,567,2,0,APARTAMENTO
RJ,NITEROI,ICARAI,RUA PRESIDENTE BACKER,720000.0,93,2,2,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-icarai-niteroi-93m2-id-2686220565,437,2,0,APARTAMENTO
RJ,NITEROI,SANTA ROSA,RUA DOUTOR MARIO VIANA,780000.0,88,2,2,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-santa-rosa-niteroi-88m2-id-2673066697,275,2,0,APARTAMENTO
RJ,NITEROI,CENTRO,AVENIDA ERNANI DO AMARAL PEIXOTO,240000.0,53,null,1,null,null,www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-com-elevador-centro-niteroi-53m2-id-2681045951,450,2,0,SALA/CONJUNTO
RJ,NITEROI,SANTA ROSA,RUA VEREADOR DUQUE ESTRADA,900000.0,110,3,3,2,null,www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-santa-rosa-niteroi-110m2-id-2605742902,67,2,0,APARTAMENTO
RJ,NITEROI,CENTRO,AVENIDA FELICIANO SODRE,160000.0,55,1,1,null,null,www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-centro-niteroi-55m2-id-2682117396,55,2,0,APARTAMENTO
RJ,NITEROI,SERRA GRANDE,AVENIDA JOSE CORTES JUNIOR,840000.0,300,3,3,2,null,www.zapimoveis.com.br/imovel/venda-casa-3-quartos-serra-grande-niteroi-300m2-id-2619088194,200,2,0,CASA
RJ,NITEROI,BARRETO,RUA LIBORIO SEABRA,150000.0,78,2,1,null,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-barreto-niteroi-78m2-id-2687945394,null,2,0,APARTAMENTO
RJ,NITEROI,SANTO ANTONIO,ESTRADA FRANCISCO DA CRUZ NUNES,270000.0,32,null,1,null,null,www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-mobiliado-piratininga-niteroi-32m2-id-2676227102,4901,2,1,SALA/CONJUNTO
RJ,NITEROI,VARZEA DAS MOCAS,RODOVIA AMARAL PEIXOTO,600000.0,240,3,3,2,null,www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-varzea-das-mocas-niteroi-240m2-id-2687683920,10000,2,0,CASA DE CONDOMINIO
RJ,NITEROI,VARZEA DAS MOCAS,RODOVIA AMARAL PEIXOTO,600000.0,240,3,3,2,null,www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-varzea-das-mocas-niteroi-240m2-id-2687683920,10000,2,0,CASA DE CONDOMINIO
